text,user_location,tweet_date,time,city
"INNBC TOKEN CRIADO PELO CIENTISTA PESQUISADOR E DESENVOLVEDOR JONATHAN FIOR,PARA CURA DO CÂNCER E HIV E DA COVID-19 NO MUNDO PROJETO TOKENIZADO INOVADOR PARA O MUNDO LISTADA NA EXCHANGE E","Santos, Brasil",2021-04-01,05:52:15,Santos
"Campo Grande chega, de acordo com dados apresentados por , a 102% de ocupação de leitos. “O Estado todo está colapsado. Vamos abrir mais leitos? Existe um limite, mais do q criar leitos, é preciso diminuir a contaminação” #coronavirus #COVID19","São Paulo, Brasil",2021-04-01,05:54:00,São Paulo
"🌎 França terá lockdown em todo o país a partir de sábado, anuncia Macron: De acordo com o presidente, o país perderá o controle se medidas restritivas de enfrentamento à Covid-19 não forem adotadas com agilidade","Araraquara, Brasil",2021-04-01,06:00:33,Araraquara
Alaska Airlines Junta-Se A Oneworld Oficialmente Depois De 89 Anos De Existência,"Rio de Janeiro, Brasil",2021-04-01,05:44:26,Rio de Janeiro
"Sobre as entregas da Pfizer, atrasadas:","Rio de Janeiro, Brasil",2021-04-01,05:57:57,Rio de Janeiro
Gente não dá pra anunciar quantas vidas foram salvas? Ajuda a diminuir um pouco o medo dos ansiosos... 3:01 da manhã e eu tô em prantos.,"São Paulo, Brasil",2021-04-01,06:02:00,São Paulo
Visão do Brasil lá fora. #Bolsonaro300Mil,"Guarulhos eSão Paulo,SP,Brasil",2021-04-01,05:53:57,Guarulhos eSão Paulo
Flybondi Inicia Operações No Aeroparque Para Todos Os Destinos Nacionais,"Rio de Janeiro, Brasil",2021-04-01,05:53:53,Rio de Janeiro
#AgênciaGBC Rio Grande do Sul chega perto da marca de 20 mil mortos pelo coronavírus,"Canoas, Brasil",2021-04-01,06:00:00,Canoas
O tio Chico da 2 versão de chiquititas nos deixou tbm. Puta notícia triste! Os dois se foram em pouco tempo... deixaram vários corações marcados com seus trabalhos ♥️😓,"Rio de Janeiro, Brasil",2021-04-01,05:56:47,Rio de Janeiro
